id,price,city,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds
6465075,383.0,boston,jamaica plain,condominium,entire home/apt,10,2,5,6
8932377,90.0,boston,jamaica plain,condominium,private room,2,1,1,1
9577988,99.0,boston,jamaica plain,apartment,entire home/apt,6,1,2,3
9971054,50.0,boston,jamaica plain,apartment,private room,2,1,1,1
7348110,300.0,roxbury crossing,,apartment,entire home/apt,4,1,2,2
7790454,184.0,boston,jamaica plain,house,entire home/apt,6,2,4,5
3021446,80.0,boston,jamaica plain,apartment,private room,2,1,1,1
7708436,85.0,boston,jamaica plain,house,private room,2,1,1,1
11514237,150.0,boston,jamaica plain,apartment,entire home/apt,2,1,1,2
13363171,100.0,boston,jamaica plain,apartment,entire home/apt,2,1,1,1
11946029,100.0,boston,,apartment,private room,2,1,1,1
6019555,84.0,boston,jamaica plain,townhouse,private room,2,1,1,2
12052288,130.0,boston,jamaica plain,apartment,entire home/apt,4,1,1,2
9676551,76.0,jamaica plain,,apartment,private room,2,1,1,1
12789527,100.0,boston,,apartment,private room,2,1,1,1
12855005,70.0,boston,jamaica plain,house,private room,2,2,1,1
1631942,125.0,boston,jamaica plain,condominium,entire home/apt,2,1,1,1
2884903,70.0,boston,jamaica plain,apartment,private room,2,1,1,1
14868157,75.0,boston,jamaica plain,bed & breakfast,private room,1,1,1,1
13344433,170.0,boston,,house,entire home/apt,3,1,2,1
40601,95.0,boston,jamaica plain,house,private room,2,1,1,1
12033661,70.0,boston,jamaica plain,bed & breakfast,private room,2,1,1,2
6298216,299.0,boston,jamaica plain,apartment,entire home/apt,6,1,3,3
12868343,70.0,jamaica plain,jamaica plain,house,private room,1,1,1,1
14474750,155.0,boston,jamaica plain,entire floor,entire home/apt,6,2,2,3
6921672,250.0,boston,jamaica plain,apartment,entire home/apt,4,2,2,2
2219399,115.0,boston,jamaica plain,apartment,private room,2,1,1,1
336960,70.0,boston,jamaica plain,house,private room,3,1,1,2
336946,135.0,boston,jamaica plain,house,entire home/apt,3,1,1,2
6644330,120.0,"jamaica plain, ma",jamaica plain,condominium,private room,2,1,1,1
6939162,130.0,boston,jamaica plain,loft,entire home/apt,4,1,1,1
13640138,29.0,boston,jamaica plain,apartment,private room,3,1,1,1
12593295,68.0,boston,,apartment,private room,2,1,1,1
10004575,300.0,boston,jamaica plain,apartment,entire home/apt,6,1,3,5
12855343,50.0,boston,jamaica plain,house,private room,1,2,1,1
9791506,119.0,boston,jamaica plain,condominium,entire home/apt,2,1,1,1
5801643,46.0,boston,jamaica plain,apartment,private room,2,1,1,1
12888054,295.0,boston,jamaica plain,condominium,entire home/apt,6,1,2,3
5676025,130.0,boston,jamaica plain,apartment,entire home/apt,5,1,2,3
6104388,180.0,boston,jamaica plain,condominium,entire home/apt,6,2,2,2
8283433,300.0,boston,jamaica plain,apartment,entire home/apt,7,1,2,4
14573919,200.0,boston,jamaica plain,apartment,entire home/apt,5,1,2,3
7495866,136.0,boston,jamaica plain,apartment,entire home/apt,2,1,1,1
13623390,100.0,boston,,apartment,entire home/apt,2,1,1,1
3629014,88.0,"jamaica plain, boston",jamaica plain,house,private room,5,1,1,2
10883063,95.0,boston,,house,private room,3,1,1,2
713627,135.0,boston,jamaica plain,house,entire home/apt,2,1,1,1
4105704,135.0,boston,jamaica plain,house,entire home/apt,2,1,1,1
3957602,75.0,boston (jamaica plain),jamaica plain,bed & breakfast,private room,2,1,1,1
11739985,189.0,boston,,house,entire home/apt,5,1,2,4
5874408,75.0,boston,jamaica plain,house,private room,2,1,1,1
7693009,55.0,boston,,apartment,private room,2,1,1,1
